Date,Open,High,Low,Close,Adj Close,Volume,diff,polarity
2020-05-01,107.0,107.54000091552734,105.83000183105469,106.62000274658203,106.18467712402344,730700,0.0,0.053711538461538456
2020-05-04,105.80999755859375,106.62999725341797,104.37999725341797,106.12999725341797,105.69667053222656,722700,-0.4900054931640625,0.10581071706071708
2020-05-05,107.54000091552734,109.4800033569336,105.94000244140625,108.83000183105469,108.38565063476562,966500,2.7000045776367188,0.22668526785714288
2020-05-06,109.7699966430664,109.7699966430664,105.5999984741211,105.62999725341797,105.19871520996094,710200,-3.2000045776367188,0.08019097222222221
2020-05-07,106.75,109.22000122070312,106.44999694824219,107.33000183105469,106.89177703857422,633600,1.7000045776367188,-0.15681818181818183
2020-05-08,109.20999908447266,109.29000091552734,107.08000183105469,107.58999633789062,107.15071105957031,895100,0.2599945068359375,0.2973569179738011
2020-05-11,105.9800033569336,109.94999694824219,105.8499984741211,109.23999786376953,108.79397583007812,683300,1.6500015258789062,0.09879457096848403
2020-05-12,110.0,110.48999786376953,108.19999694824219,108.5,108.05699920654297,1070400,-0.7399978637695312,0.08853475228475227
2020-05-13,108.5199966430664,110.30000305175781,107.44999694824219,108.88999938964844,108.44540405273438,927700,0.3899993896484375,0.1437050701823429
2020-05-14,107.3499984741211,109.66999816894531,107.25,109.4800033569336,109.03299713134766,793200,0.5900039672851562,0.18585229925303456
2020-05-15,109.79000091552734,112.25,108.66999816894531,112.08000183105469,111.62238311767578,2078500,2.5999984741210938,0.13647852147852146
2020-05-18,114.91999816894531,115.91000366210938,113.86000061035156,114.94000244140625,114.470703125,865300,2.8600006103515625,0.023239801286676288
2020-05-19,114.19999694824219,115.98999786376953,112.41999816894531,112.62999725341797,112.17012786865234,641300,-2.3100051879882812,0.1905133928571429
2020-05-20,112.98999786376953,115.61000061035156,112.98999786376953,114.70999908447266,114.24163818359375,531600,2.0800018310546875,0.20154982363315696
2020-05-21,113.86000061035156,114.69999694824219,113.01000213623047,113.98999786376953,113.52458190917969,722000,-0.720001220703125,0.07132954545454548
2020-05-22,114.08000183105469,115.79000091552734,113.83000183105469,115.33999633789062,114.86906433105469,440600,1.3499984741210938,0.17544183029272312
2020-05-26,118.41999816894531,119.2699966430664,116.02999877929688,116.27999877929688,115.80522918701172,611900,0.94000244140625,0.04967120610870611
2020-05-27,117.77999877929688,117.98999786376953,114.22000122070312,115.19000244140625,114.71968078613281,845900,-1.089996337890625,0.04841428438196906
2020-05-28,116.33000183105469,117.6500015258789,115.56999969482422,116.37000274658203,115.89486694335938,714300,1.1800003051757812,0.1479186190132619
2020-05-29,116.31999969482422,118.83000183105469,115.69999694824219,118.45999908447266,117.97632598876953,831700,2.089996337890625,0.069375
2020-06-01,119.30000305175781,119.87000274658203,117.25,118.87999725341797,118.39461517333984,929500,0.4199981689453125,-0.017500000000000005
2020-06-02,119.25,119.80000305175781,118.27999877929688,119.23999786376953,118.75314331054688,519200,0.3600006103515625,0.11732136558327035
2020-06-03,119.97000122070312,120.7300033569336,118.33999633789062,119.33999633789062,118.85273742675781,702800,0.09999847412109375,0.06158907800953257
2020-06-04,119.0999984741211,119.37000274658203,116.44000244140625,117.93000030517578,117.44849395751953,601200,-1.4099960327148438,0.17740198824080405
2020-06-05,119.54000091552734,120.25,115.33000183105469,119.9000015258789,119.41045379638672,1076100,1.970001220703125,0.2912203160953161
2020-06-08,119.37000274658203,121.61000061035156,119.2699966430664,121.30000305175781,120.80474090576172,959200,1.4000015258789062,-0.0035622710622710617
2020-06-09,120.36000061035156,121.16000366210938,119.1500015258789,120.08999633789062,119.59967041015625,825900,-1.2100067138671875,0.24822285353535356
2020-06-10,119.56999969482422,120.83999633789062,119.37999725341797,120.01000213623047,119.52000427246094,513100,-0.07999420166015625,0.1983810797046091
2020-06-11,118.48999786376953,118.87000274658203,112.72000122070312,113.25,113.25,866300,-6.760002136230469,0.17233738904193446
2020-06-12,115.45999908447266,115.88999938964844,113.12999725341797,115.1500015258789,115.1500015258789,705500,1.9000015258789062,0.07473169191919192
2020-06-15,112.54000091552734,118.36000061035156,112.2300033569336,117.37000274658203,117.37000274658203,781200,2.220001220703125,0.044572844328703703
2020-06-16,118.69000244140625,120.0,116.08999633789062,118.52999877929688,118.52999877929688,755900,1.1599960327148438,0.16415426587301585
